time,joint_1_angle,joint_1_phase,joint_1_phase_sin,joint_2_angle,joint_2_phase,joint_2_phase_sin,joint_3_angle,joint_3_phase,joint_3_phase_sin,joint_4_angle,joint_4_phase,joint_4_phase_sin,joint_5_angle,joint_5_phase,joint_5_phase_sin,joint_6_angle,joint_6_phase,joint_6_phase_sin
0.0,0.00010601216417879748,0.006283185307179587,0.006283143965558951,0.01182304558185838,2.10070204877632,0.8628547273619603,-0.021348527034338583,4.195092686135412,-0.8691594238390977,8.129112043193148e-05,0.006317778575794186,0.006317736547565645,0.005797499603321024,2.1006964075947874,0.862857578694692,-0.019647857338407404,4.1950828516412635,-0.8691545603250366
0.001,0.0003336788963637989,0.018849556358672623,0.018848440152464382,0.012313156722165588,2.113316533688786,0.8564102298225204,-0.02255496169693865,4.207698130368354,-0.8753240016642552,0.00025589492853275643,0.018954194946604025,0.01895306004821999,0.006038305116766585,2.113299469109013,0.8564190400714214,-0.02075892701910163,4.207668382457275,-0.8753096170655269
0.002,0.0005831339081256826,0.03141592879734523,0.0314107613384597,0.012813795391965985,2.1259328096930807,0.8498285136054695,-0.023811380268711272,4.220305031184319,-0.8813501829602687,0.0004472680776106361,0.031593210020243775,0.03158795458923708,0.006284340903168334,2.12590389501071,0.8498437530022377,-0.021916142994076036,4.220254630612635,-0.881326369405239
0.003,0.0008559786428547534,0.043982303263228634,0.04396812442492479,0.013331858169335627,2.138551527911116,0.8431102183455654,-0.0251321620699962,4.232913918296385,-0.8872372059541503,0.0006566649207493592,0.04423576766945871,0.04422134229938924,0.006539019516080246,2.1385101811500413,0.8431324514649476,-0.023132808248453214,4.232841857284806,-0.88720396093348
0.004,0.001153835194570337,0.056548680036453566,0.056518546734245896,0.01386757981179539,2.15117279306036,0.8362562781205846,-0.026519937290744106,4.245524877239622,-0.8929841067752075,0.0008853476417954912,0.05688201808055736,0.056851348807787,0.0068024696647832165,2.151118407177662,0.8362860987733627,-0.024411380133274246,4.245430105107192,-0.8929414469467802
0.005,0.0014784257634069846,0.06911505944005836,0.06906004672520549,0.014421342824058013,2.163796728452455,0.8292676348378666,-0.02797771296348233,4.258138008774087,-0.8985899459151356,0.0011346585144797092,0.06953213787417829,0.06947612336789712,0.007074895269357998,2.1637286669495226,0.8293056692017227,-0.02575467065934884,4.258019424321057,-0.8985379059999997
0.006,0.0018315725900312381,0.08168144183317388,0.08159064429850638,0.01499351514627545,2.1764234628892742,0.8221452446837251,-0.02950858646326475,4.2707534182101865,-0.9040538029190077,0.0014060200264614012,0.08218631120692918,0.08209381998026169,0.00735649529800656,2.1763410585145713,0.8221921528722071,-0.027165582026218143,4.2706098675097905,-0.9039924373546183
0.007,0.0022152028168024147,0.09424782761503593,0.09410836111279806,0.015584451547889636,2.1890531312298123,0.8148900774861288,-0.03111575036854863,4.283371215884556,-0.9093747764311059,0.0017009391533301418,0.09484473051499416,0.09470259813349488,0.007647464767571989,2.18895568455398,0.8149465552235754,-0.028647112213000436,4.28320148984874,-0.9093041610731938
0.008,0.002631353247646446,0.10681421722908276,0.10661122090040236,0.016194490927918526,2.2016858746419357,0.8075031162360531,-0.03280248952656387,4.295991517380052,-0.9145519840999773,0.0020210116285474767,0.10750759679912944,0.1073006230667323,0.007947993742304125,2.201572652579845,0.8075698965997417,-0.030202353476791118,4.295794349229823,-0.9144722180419488
0.009000000000000001,0.00308217517251805,0.11938061116745186,0.11909724978298723,0.016823953441952637,2.214321840868983,0.7999853565932732,-0.03457217719612663,4.308614443760097,-0.9195845624692325,0.002367926357598381,0.12017511991889111,0.11988606602020957,0.00825826628798228,2.2141920751467974,0.8000632118243842,-0.031834490166302604,4.308388506395476,-0.9194957699843075
0.01,0.0035699392213823407,0.13194700997590228,0.13156447658714837,0.0174731373401957,2.226961184502971,0.7923378063813734,-0.03642826993483824,4.321240121810954,-0.9244716668504684,0.002743469963406579,0.13284751888281054,0.13245710445983694,0.008578459328005788,2.226814070070458,0.7924275497650104,-0.03354679556078641,4.320984025079039,-0.9243739994634902
0.011,0.004097040212573413,0.14451341425919834,0.14401093315986543,0.018142315493775183,2.239604067264012,0.7845614850725962,-0.0383743010459821,4.333868684291939,-0.9292124711776847,0.0031495314523011684,0.14552502213203747,0.14501192227248264,0.008908741394989891,2.2394387606527495,0.7846639728866485,-0.035342627584263535,4.333580972151923,-0.9291061098737653
0.012,0.004666001952788493,0.15707982468699286,0.1564346546838002,0.01883173158245053,2.252250658285193,0.7766574232634427,-0.04041387237501046,4.346500270193394,-0.9338061678424933,0.003588106986273907,0.15820786781424628,0.1575487099280285,0.009249271269732923,2.2520662759138785,0.7767735567955062,-0.0372254232227408,4.346179417777876,-0.9336913254198994
0.013000000000000001,0.00527948193742701,0.16964624200024958,0.16883367999240279,0.019541595914957324,2.264901134401996,0.7686266621421404,-0.04255064422280812,4.359135025002106,-0.9382519675094136,0.004061304743273124,0.17089630404408557,0.17006566460384598,0.009600196498858909,2.264696750830701,0.7687573897730419,-0.039198691452031295,4.358779435574628,-0.9381288910843247
0.014,0.005940275890144145,0.1822126670182471,0.18120605188479205,0.0202720808512394,2.2775556804451256,0.7604702529493347,-0.04478832311905856,4.3717731009737895,-0.942549098910552,0.004571349842591149,0.1835905891458673,0.18256099026688852,0.009961651781814294,2.2773303265811093,0.7606165723009968,-0.04126600446225789,4.371381102783243,-0.942418072581521
0.015,0.006651322069214461,0.1947791006462079,0.19354981744037494,0.021023315793822363,2.2902144895353653,0.7521892564336441,-0.04713064717449345,4.384414657412061,-0.9466968086189724,0.005120589306922378,0.19629099187354151,0.19503289770811047,0.010333757217235373,2.2899671507939523,0.7523522165780839,-0.043430986942365496,4.38398450044547,-0.9465581562990882
0.016,0.007415705255436979,0.207345543883598,0.20586302833316805,0.021795381713607162,2.3028777633788033,0.7437847423040295,-0.04958136870611627,4.397059860953255,-0.9506943608000932,0.005711497026288134,0.20899779160228274,0.20747960452341155,0.010716616398003429,2.3026073778038785,0.7439654460291748,-0.04569730316428105,4.396589713589427,-0.9505484492249627
0.017,0.008236660321699394,0.2199119978331434,0.21814374114578255,0.022588305173463358,2.3155457125604606,0.7352577886812947,-0.05214423380539484,4.409708885856166,-0.9545410369404628,0.0063466786816199884,0.22171127848522157,0.21989933503476727,0.011110314343568429,2.3152511689103403,0.73545739480801,-0.0480686415821569,4.409196831423909,-0.9543882788602013
0.018000000000000002,0.009117575267798154,0.23247846371061132,0.23039001768303077,0.023402051811243114,2.3282185568339804,0.7266094815514497,-0.05482295849690619,4.422361914295675,-0.9582361355533275,0.007028876577231839,0.2344317535679902,0.23229032014465154,0.011514915257350466,2.3278986926398306,0.7268292072946526,-0.050548696638004306,4.421805947541641,-0.9580769931167433
0.019,0.010061993585533478,0.24504494285540296,0.24259992528510968,0.024236519242301795,2.340896525404637,0.7178409142241324,-0.05762120111527413,4.435019136658917,-0.9617789718604549,0.007760974321547934,0.24715952885281267,0.24465079711629184,0.011930460096224216,2.340550125010217,0.7180820375891482,-0.053141147441766914,4.434417160131771,-0.9616139601995266
0.02,0.011073615798332563,0.2576114367420056,0.25477153714031125,0.025091529340404234,2.353579857202458,0.708953186799817,-0.060542530513104875,4.447680751842413,-0.9651688774497618,0.008546001284134555,0.25989492730286606,0.25697900927173656,0.01235696393825883,2.3532056497958287,0.7092170490031063,-0.0558496329725613,4.4470305722018955,-0.9649985684723197
0.021,0.012156299996598882,0.2701779469923491,0.2669029325972049,0.02596681985514624,2.3662688011417314,0.6999474056501316,-0.06359038970404765,4.460346967548261,-0.9684051999084009,0.009387136744144242,0.2726382827765738,0.26927320559917156,0.012794413134030217,2.365865458791678,0.7002354135512283,-0.05867772342978617,4.459646291809877,-0.9682302263066018
0.022,0.013314061164585562,0.28274447538911035,0.27899219747623,0.02686203532388895,2.378963616362592,0.6908246829162757,-0.06676805454560061,4.4730180005771025,-0.971487302431087,0.010287713630555256,0.2853899398803788,0.2815316402604199,0.013242762225952404,2.378529752074928,0.6911383114451387,-0.061628887349808315,4.472264432305713,-0.9713083619128108
