2025-10-26 22:24:08,458 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Total_v1.STEP-1
2025-10-26 22:24:08,458 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 游泳机器人.SLDASM
2025-10-26 22:24:08,459 INFO  ExportHelperExtension.cs: 1136 - Found 39 in 游泳机器人.SLDASM
2025-10-26 22:24:08,460 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in 游泳机器人.SLDASM
2025-10-26 22:24:08,461 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-10-26 22:24:08,461 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-10-26 22:24:08,462 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Total_v1.STEP-1
2025-10-26 22:24:08,464 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Total_v1.STEP-1
2025-10-26 22:24:08,464 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Total_v1.STEP-1
2025-10-26 22:24:08,767 INFO  SwAddin.cs: 339 - Loading config tree
2025-10-26 22:24:08,769 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
